ID do cliente;CPF do cliente;Nome do cliente;Telefone com DDD;Logradouro;UF;Município;ID do produto;Nome do produto;Preço unitário;Quantidade comprada;Valor total pago;Taxa de entrega;Nome do entregador;Data da compra;Data da entrega
11;107.468.523-71;Julia Cardoso;(084) 1354 2784;Rua de Albuquerque, 341;MG;Uberlândia;9;Pen Drive;60;10;617.15;17.15;Danilo Caldeira;2025-10-12;2025-10-15
12;435.172.860-44;Otávio da Mota;+55 (061) 0524 2786;Condomínio Barbosa, 18;CE;Juazeiro do Norte;4;Mouse;80;7;566.99;6.99;Sr. Pedro Cardoso;2025-09-01;2025-09-23
13;053.819.276-30;Daniela da Costa;+55 (031) 2602-5634;Colônia de Garcia, 8;CE;Juazeiro do Norte;5;Teclado;150;7;1060.52;10.52;Guilherme Marques;2025-09-19;2025-10-25
14;390.518.267-02;Luiz Fernando Ramos;31 6850-1429;Colônia Peixoto, 65;CE;Caucaia;7;Impressora;700;5;3512.74;12.74;Sophia Camargo;2025-09-21;2025-10-15
15;406.895.132-24;Lucas Pinto;(051) 1484 6564;Estrada Leão, 52;RJ;Petrópolis;10;Webcam;300;2;600.0;29.63;Agatha da Rosa;2025-09-15;2025-10-06
16;957.361.820-68;Antonella da Paz;31 9513-4332;Feira Melo;CE;Juazeiro do Norte;4;Mouse;80;10;835.87;35.87;Ana Sophia Marques;2025-09-23;2025-10-18
17;367.915.084-93;Felipe Sampaio;41 7083-1727;Sítio de Peixoto, 97;SP;Santos;6;Monitor;900;2;1818.51;18.51;Melissa Castro;2025-10-12;2025-10-22
18;439.678.152-00;João Pedro da Costa;+55 81 5581-2236;Favela Azevedo, 66;MG;Juiz de Fora;2;Smartphone;1800;5;9041.49;41.49;Nina Leão;2025-09-02;2025-10-23
19;609.382.417-96;Ísis Pereira;+55 21 7346-7065;Passarela de Silveira, 37;RJ;Fortaleza;5;Teclado;150;1;178.33;28.33;Yasmin Alves;2025-10-22;2025-10-29
20;016.837.942-22;Sr. Rafael Duarte;(081) 6464 1708;Fazenda Davi Miguel Vasconcelos;CE;Juazeiro do Norte;1;Notebook;3500;6;21032.1;32.1;Ana Cecília Sá;2025-08-31;2025-09-15
21;023.179.658-77;Sr. Danilo Vasconcelos;+55 (031) 4190-4966;Campo Pastor, 51;MG;Uberlândia;4;Mouse;80;8;677.05;37.05;Bárbara Vieira;2025-10-27;2025-11-01
22;586.920.741-01;Bianca Lopes;21 7262 8498;Quadra Luiza Siqueira, 445;MG;Uberlândia;1;Notebook;3500;9;31510.14;10.14;João Lucas Machado;2025-09-13;2025-10-06
23;965.032.178-03;Dr. Luigi da Mota;0300-480-8313;Residencial Rodrigo Sales, 87;RJ;Niterói;6;Monitor;900;8;7238.7;38.7;Caleb da Rocha;2025-09-12;2025-10-17
24;457.962.381-91;Dr. João Gabriel das Neves;+55 61 3135-1823;Recanto de da Mota, 589;CE;Juazeiro do Norte;8;HD Externo;400;8;3234.08;34.08;Gael da Rocha;2025-09-12;2025-09-21
25;082.795.634-74;Rebeca Caldeira;+55 (021) 9477 7520;Condomínio Davi Lucca Guerra, 11;CE;Juazeiro do Norte;2;Smartphone;1800;7;12641.68;41.68;Dom Nunes;2025-10-24;2025-10-24
26;316.475.829-46;Melina da Rosa;0900 649 9091;Vereda Cunha, 31;MG;Uberlândia;2;Smartphone;1800;10;18007.03;7.03;Erick Novaes;2025-09-03;2025-09-03
27;794.012.835-32;Igor da Luz;0900 361 8324;Campo Araújo, 54;SP;São Paulo;4;Mouse;80;8;675.42;35.42;Camila Martins;2025-10-09;2025-10-26
28;487.309.512-32;Isis Alves;+55 31 3990 4902;Via de Macedo, 72;RJ;Petrópolis;8;HD Externo;400;1;406.99;6.99;Rebeca Borges;2025-09-26;2025-10-11
29;512.739.648-37;Ana Carolina Marques;+55 31 5451 6808;Avenida Marcos Vinicius Moreira, 89;CE;Juazeiro do Norte;8;HD Externo;400;5;2005.38;5.38;Melina Teixeira;2025-09-02;2025-09-18
30;247.530.896-65;Srta. Luana Novaes;+55 (021) 8613 1712;Lago de Moraes, 86;SP;Campinas;9;Pen Drive;60;4;70.73;10.73;Isabelly Marques;2025-10-01;2025-10-13
31;982.607.314-87;João Miguel Silveira;(031) 9972 7875;Setor de Garcia, 45;RJ;Fortaleza;6;Monitor;900;5;4543.11;43.11;Srta. Maria Isis da Conceição;2025-10-19;2025-10-25
32;576.391.802-95;Luísa Brito;(031) 1870-2621;Loteamento Isabella Rezende, 6;CE;Rio de Janeiro;9;Pen Drive;60;10;86.66;26.66;Yasmin Garcia;2025-10-25;2025-10-30
33;780.491.253-60;Beatriz Teixeira;+55 41 7240 0504;Praça João Vitor da Cruz, 369;RJ;Fortaleza;4;Mouse;80;9;754.44;34.44;Erick Barros;2025-10-04;2025-10-15
34;372.198.560-59;Laura Rocha;71 2175-9464;Estrada Hadassa Mendes, 4;MG;Belo Horizonte;1;Notebook;3500;1;3520.82;20.82;Maria Alice Oliveira;2025-09-16;2025-10-19
35;064.978.315-84;Maria Câmara;+55 (071) 9421-0470;Conjunto Fernando da Rocha, 36;SP;Santos;6;Monitor;900;8;7235.62;35.62;Davi Lucca Viana;2025-09-30;2025-11-02
36;894.612.357-55;Ravi Lucca Barbosa;+55 (011) 3685-1604;Quadra Freitas, 79;SP;Campinas;9;Pen Drive;60;5;93.13;33.13;Maria Fernanda Caldeira;2025-10-08;2025-10-20
37;985.410.327-79;Maria Luísa Camargo;+55 84 0047 1138;Quadra Ester Rios, 369;CE;Caucaia;8;HD Externo;400;1;449.85;49.85;Beatriz Mendonça;2025-10-05;2025-11-01
38;405.137.698-20;Maria Eduarda Nogueira;11 0643 1713;Trevo de Almeida, 6;SP;Campinas;10;Webcam;300;3;944.29;44.29;Davi Lucas Viana;2025-10-02;2025-10-04
39;839.612.540-60;Diogo Cardoso;71 4210-2053;Alameda Luiz Fernando da Luz, 3;RJ;Niterói;3;Fone de Ouvido;250;3;771.11;21.11;Sra. Valentina Camargo;2025-10-12;2025-10-22
40;581.347.029-88;Ana Araújo;(081) 6617-7115;Campo Cardoso, 99;CE;Juazeiro do Norte;9;Pen Drive;60;6;360.0;10.11;Sra. Maria Helena Peixoto;2025-09-30;2025-10-15
41;961.850.732-77;Noah Fernandes;(051) 6615-6545;Recanto de Azevedo, 2;RJ;Fortaleza;7;Impressora;700;8;5628.51;28.51;Pedro Brito;2025-10-12;2025-10-20
42;280.465.937-29;Maria Rios;(011) 0494-5198;Viaduto Mendes, 61;MG;Juiz de Fora;3;Fone de Ouvido;250;9;2290.72;40.72;Maria Eduarda Camargo;2025-10-13;2025-10-25
43;680.452.731-35;Sra. Maitê Ferreira;+55 (011) 2296 1201;Favela de Garcia, 67;MG;Uberlândia;8;HD Externo;400;9;3606.41;6.41;Léo das Neves;2025-10-11;2025-10-28
44;910.864.723-22;Pedro Miguel Ribeiro;(011) 7976-4381;Condomínio Alice Rocha, 578;SP;Campinas;2;Smartphone;1800;6;10827.93;27.93;Henry Gonçalves;2025-10-27;2025-10-27
45;349.612.850-05;Theo Souza;(021) 2268-3885;Área Luiza Almeida;MG;Belo Horizonte;7;Impressora;700;6;4235.49;35.49;Ana Vitória Dias;2025-10-02;2025-10-20
46;641.302.789-40;Sra. Aurora Lopes;+55 51 3696 8164;Fazenda Brenda Vasconcelos, 91;MG;Belo Horizonte;1;Notebook;3500;1;3530.7;30.7;Bruna Moura;2025-09-29;2025-10-30
47;592.106.783-03;Daniela Teixeira;+55 11 2779 9799;Largo de Cassiano, 81;RJ;Niterói;3;Fone de Ouvido;250;8;2047.18;47.18;Liz Vieira;2025-09-15;2025-09-17
48;814.360.792-50;Caleb Pimenta;0300-867-9807;Via de Correia, 89;MG;Belo Horizonte;3;Fone de Ouvido;250;2;513.83;13.83;Clarice Araújo;2025-09-25;2025-10-26
49;512.083.476-08;Dr. João Miguel Gomes;81 5905 1518;Lago Thiago Silveira, 225;RJ;Fortaleza;7;Impressora;700;5;3521.47;21.47;Cecília Ferreira;2025-09-17;2025-10-17
50;621.843.905-42;Mariana Moraes;21 0542 3573;Distrito Barbosa, 91;CE;Caucaia;9;Pen Drive;60;8;498.68;18.68;Valentina Andrade;2025-10-08;2025-10-30
51;926.175.483-09;Noah Fonseca;+55 41 7947-3834;Estrada Emilly Rocha, 577;RJ;Petrópolis;1;Notebook;3500;9;31540.99;40.99;Sarah Moura;2025-09-23;2025-09-29
52;324.059.876-00;Dra. Camila da Paz;+55 21 2478 2613;Morro Benjamim Leão, 7;MG;Uberlândia;8;HD Externo;400;3;1220.89;20.89;Maria Fernanda da Costa;2025-09-21;2025-09-24
53;305.872.164-17;Ravy Sampaio;+55 84 7790 1043;Sítio Siqueira, 286;CE;Caucaia;8;HD Externo;400;10;4019.72;19.72;Isaac da Rosa;2025-09-06;2025-09-19
54;;;+55 (011) 9539 6218;Rua Nogueira, 188;MG;Belo Horizonte;1;Notebook;3500;4;14007.58;7.58;Olivia Aparecida;2025-10-06;2025-11-02
55;405.682.197-67;Lívia Carvalho;+55 (061) 5852 7722;Quadra de Andrade;SP;São Paulo;8;HD Externo;400;3;1244.5;44.5;Guilherme Aparecida;2025-10-15;2025-10-31
56;546.783.209-38;Luiz Henrique Vasconcelos;+55 (071) 5415 6676;Residencial Sales, 95;RJ;Niterói;3;Fone de Ouvido;250;3;757.92;7.92;Bryan Siqueira;2025-09-24;2025-10-11
57;284.905.631-60;Pietro Pereira;(011) 2757-0596;Avenida de Barbosa, 95;SP;Campinas;10;Webcam;300;3;924.09;24.09;Dra. Eduarda Alves;2025-09-07;2025-10-11
58;702.819.456-67;Daniela Rocha;(041) 5571-9285;Via Agatha da Cruz, 1;RJ;Petrópolis;10;Webcam;300;2;635.99;35.99;Srta. Sara Moreira;2025-09-21;2025-10-15
59;497.182.305-05;Brayan Machado;+55 (051) 7155-1884;Vila Porto, 95;MG;Juiz de Fora;6;Monitor;900;10;9023.58;23.58;Davi Costa;2025-10-15;2025-10-19
60;705.462.398-38;Aurora Azevedo;(041) 6786 6912;Campo de Machado, 68;SP;São Paulo;5;Teclado;150;5;795.83;45.83;Yuri Porto;2025-10-03;2025-10-26
61;260.874.135-53;Lorenzo Santos;+55 21 5841-4384;Lagoa de Pimenta, 318;RJ;Fortaleza;10;Webcam;300;5;1546.3;46.3;Daniela Cavalcante;2025-10-07;2025-10-26
62;950.678.421-30;Giovanna Vargas;0500 690 7844;Viela Guerra, 27;SP;Santos;9;Pen Drive;60;1;90.85;30.85;Srta. Eduarda Macedo;2025-09-23;2025-10-12
63;529.678.410-30;Sr. Liam da Costa;(061) 1473-2104;Pátio de da Cruz, 65;CE;Rio de Janeiro;3;Fone de Ouvido;250;10;2543.87;43.87;Emanuel Monteiro;2025-10-27;2025-10-30
64;470.839.562-00;Maria Aragão;+55 (071) 4797 4801;Jardim Siqueira, 66;MG;Uberlândia;4;Mouse;80;10;820.96;20.96;Murilo Aragão;2025-10-02;2025-10-08
65;841.396.250-15;Calebe Gonçalves;31 5852 3986;Área Andrade, 85;RJ;Niterói;10;Webcam;300;6;1829.75;29.75;Mirella Cassiano;2025-10-04;2025-10-19
66;592.347.861-73;Dra. Letícia Melo;+55 (031) 5516 9409;Via Rafael Silveira, 8;MG;Belo Horizonte;1;Notebook;3500;1;3520.24;20.24;Vinicius Pires;2025-10-11;2025-10-28
67;623.049.157-52;Dr. Dom Jesus;+55 (084) 6897-0283;Viaduto Maria Liz Moura, 35;SP;Santos;6;Monitor;900;9;8125.53;25.53;Yasmin Fernandes;2025-10-01;2025-10-23
68;473.129.506-80;Gustavo Henrique Sales;(084) 5758-4419;Parque de Gonçalves, 52;RJ;Niterói;7;Impressora;700;8;5644.13;44.13;João Pedro Silva;2025-09-03;2025-10-29
69;473.192.508-88;Isabella da Cruz;+55 (071) 8330 1657;Conjunto de Abreu;RJ;Fortaleza;6;Monitor;900;4;3627.22;27.22;Eduarda Jesus;2025-10-07;2025-10-30
70;793.625.480-38;Igor Nascimento;+55 (051) 2620 6724;Lagoa Nunes;SP;São Paulo;9;Pen Drive;60;3;226.81;46.81;Bianca Farias;2025-09-15;2025-11-02
71;897.143.205-50;Sr. Raul Ramos;+55 61 2054-9329;Passarela de Lima, 751;MG;Juiz de Fora;3;Fone de Ouvido;250;1;273.04;23.04;Aylla Cirino;2025-10-26;2025-10-29
72;304.916.257-07;Alexia da Luz;21 3017 4268;Vila Isaac Porto, 45;MG;Juiz de Fora;9;Pen Drive;60;4;271.32;31.32;Davi Luiz Mendes;2025-09-08;2025-10-19
73;956.843.102-06;Melissa Moura;21 1910 8839;Esplanada Duarte, 471;RJ;Niterói;8;HD Externo;400;5;2039.71;39.71;Dra. Rebeca Borges;2025-10-22;2025-10-27
74;072.435.981-88;Lorena Silveira;+55 (031) 6403 9106;Campo de Nogueira, 2;MG;Uberlândia;2;Smartphone;1800;10;18017.48;17.48;Ana Beatriz da Paz;2025-09-23;2025-10-24
75;659.378.024-38;Marcela Campos;+55 (051) 8682-3004;Setor de Lima, 463;MG;Juiz de Fora;9;Pen Drive;60;6;386.15;26.15;Manuella Cassiano;2025-09-15;2025-10-30
76;106.489.752-58;Ana Beatriz Machado;0300-030-6738;Conjunto Montenegro, 63;RJ;Fortaleza;7;Impressora;700;4;2805.95;5.95;Luna da Costa;2025-09-16;2025-09-22
77;836.270.159-59;Sabrina Aragão;(084) 6856 6246;Recanto de da Costa, 34;CE;Rio de Janeiro;6;Monitor;900;7;944.5;44.5;Ana Laura Novais;2025-09-23;2025-10-10
78;826.197.530-40;Maria Eduarda Borges;61 3046-9901;Viaduto de Novais, 47;CE;Caucaia;1;Notebook;3500;8;28034.31;34.31;Dr. Anthony Gabriel Cunha;2025-10-24;2025-11-02
79;173.549.806-84;Mateus Martins;61 5445-8771;Recanto de Teixeira, 63;SP;Campinas;4;Mouse;80;8;673.31;33.31;Dr. Augusto Nunes;2025-10-19;2025-10-30
80;046.215.798-94;Isabelly Monteiro;81 5477-7252;Setor de Mendonça, 18;SP;Campinas;5;Teclado;150;7;1098.23;48.23;Ana Beatriz Barbosa;2025-10-24;2025-10-30
81;062.851.973-77;Henrique Montenegro;(051) 5099-7700;Pátio de Albuquerque, 9;CE;Juazeiro do Norte;1;Notebook;3500;9;31500.0;14.59;Sra. Zoe da Paz;2025-08-31;2025-10-22
82;621.047.593-07;Dr. Miguel Barros;31 6793 3410;Parque Gabriela Novaes;MG;Juiz de Fora;10;Webcam;300;7;2116.81;16.81;Ana Laura Porto;2025-08-30;2025-09-10
83;765.408.932-56;Dra. Olívia da Mata;+55 (061) 1489 0250;Distrito de Sá, 51;MG;Juiz de Fora;4;Mouse;80;6;508.57;28.57;Isaque Nunes;2025-10-18;2025-10-24
84;856.791.024-20;Carlos Eduardo Lopes;+55 31 1599-9650;Praia Mariane da Conceição, 78;RJ;Fortaleza;6;Monitor;900;3;2732.42;32.42;Ester Rodrigues;2025-10-03;2025-10-14
85;943.506.281-42;Dra. Daniela Sousa;51 5511 0475;Colônia João Borges, 86;SP;Santos;3;Fone de Ouvido;250;7;1799.31;49.31;Sophie Jesus;2025-09-05;2025-09-10
86;815.630.297-40;Joaquim Oliveira;41 2622-4447;Esplanada Lopes, 56;SP;Santos;7;Impressora;700;5;3518.92;18.92;Ana Vitória Fonseca;2025-09-13;2025-09-25
87;739.012.654-06;Maria Helena Farias;(031) 5692-4593;Estação Isabella Dias, 47;MG;Uberlândia;10;Webcam;300;6;1836.1;36.1;Dr. João Lucas Viana;2025-09-22;2025-09-26
88;932.540.876-74;Lavínia Sales;+55 (084) 6724 3426;Campo Manuela Peixoto, 79;CE;Rio de Janeiro;4;Mouse;80;8;676.76;36.76;Sofia Sales;2025-09-23;2025-09-24
89;581.072.946-02;Maria Liz Sá;(071) 6101 4388;Vila de Oliveira, 67;CE;Rio de Janeiro;4;Mouse;80;1;118.01;38.01;Nicole Vargas;2025-10-09;2025-10-26
90;250.379.684-29;Srta. Marcela das Neves;(081) 7387 5717;Praia de Dias, 5;CE;Caucaia;9;Pen Drive;60;1;87.5;27.5;Danilo Almeida;2025-10-19;2025-10-28
91;239.417.850-79;Ester Cirino;(021) 6093-7966;Favela de Costela;RJ;Fortaleza;4;Mouse;80;6;514.09;34.09;Benício Oliveira;2025-09-05;2025-10-26
92;258.130.976-86;Luara Peixoto;51 9691 5579;Lagoa de Pimenta, 612;SP;Santos;10;Webcam;300;10;3036.21;36.21;Isaque das Neves;2025-09-05;2025-09-27
93;286.341.750-90;Zoe Sales;+55 (051) 8274-2257;Morro Albuquerque, 42;MG;Juiz de Fora;3;Fone de Ouvido;250;6;294.86;44.86;Sofia Rezende;2025-09-28;2025-10-22
94;;;61 4279-7881;Ladeira Vasconcelos, 158;RJ;Petrópolis;1;Notebook;3500;8;28047.62;47.62;Sra. Ísis Cunha;2025-10-27;2025-10-27
95;340.925.716-07;Gustavo Henrique Sousa;0900 596 2923;Avenida Nunes, 58;SP;Campinas;4;Mouse;80;4;329.8;9.8;Zoe Cavalcante;2025-09-18;2025-10-20
96;491.730.258-79;Srta. Isadora Casa Grande;(061) 3672 9466;Vereda Vieira, 7;SP;Campinas;1;Notebook;3500;1;3527.09;27.09;Lara Sales;2025-10-24;2025-10-27
97;750.689.321-59;Vitor Gonçalves;+55 11 6374-5458;Travessa Mendonça, 10;RJ;Niterói;6;Monitor;900;6;948.42;48.42;Raul Almeida;2025-09-06;2025-10-25
98;790.315.284-04;Luiz Miguel da Cunha;+55 21 5206 4361;Aeroporto Cunha, 31;SP;São Paulo;1;Notebook;3500;6;21026.63;26.63;Heloisa Moreira;2025-10-09;2025-10-09
99;516.983.047-57;Cauã Caldeira;(051) 5426 2218;Vale Rezende, 67;RJ;Petrópolis;1;Notebook;3500;5;17514.25;14.25;Srta. Clarice Jesus;2025-10-05;2025-10-17
100;318.704.962-13;Sr. Josué da Mota;+55 21 3899 9404;Trevo de Moraes, 56;MG;Uberlândia;2;Smartphone;1800;7;12624.58;24.58;Ana Júlia Viana;2025-10-21;2025-11-02
101;761.934.025-43;Dr. Davi Lucca Gomes;0300 658 2710;Aeroporto da Luz, 10;SP;São Paulo;3;Fone de Ouvido;250;1;288.24;38.24;Sofia da Paz;2025-10-06;2025-10-20
102;698.054.137-48;Bruno Moraes;+55 (084) 2856-9146;Avenida da Cruz, 7;MG;Juiz de Fora;2;Smartphone;1800;6;10800.0;43.96;Rafael Pimenta;2025-10-04;2025-10-13
103;210.587.639-03;Stella Viana;+55 71 2524-1056;Campo de da Luz, 817;CE;Rio de Janeiro;5;Teclado;150;8;1245.01;45.01;Maria Cecília Araújo;2025-09-28;2025-10-18
104;524.607.938-47;Anthony Gabriel da Cruz;+55 (061) 7562 2086;Feira Lara Silveira, 24;SP;Campinas;8;HD Externo;400;7;2811.16;11.16;Maria Fernanda Campos;2025-09-28;2025-10-30
105;230.876.914-96;Yuri Marques;+55 (021) 5349 4937;Residencial de Vargas, 48;CE;Rio de Janeiro;9;Pen Drive;60;7;468.21;48.21;André Jesus;2025-08-31;2025-10-04
106;059.683.274-56;Isabela Leão;(084) 0241-0386;Quadra Enzo Gabriel Pacheco, 9;SP;Campinas;8;HD Externo;400;4;1639.47;39.47;Matteo Barbosa;2025-10-03;2025-10-04
107;234.968.517-91;Igor Barbosa;+55 (081) 2912-1277;Condomínio Stella Fogaça, 57;MG;Juiz de Fora;4;Mouse;80;5;96.92;16.92;Julia Campos;2025-09-04;2025-10-22
108;403.621.857-35;Dr. Théo Aragão;(031) 4206 7883;Colônia João Lucas Campos;SP;São Paulo;7;Impressora;700;9;6300.0;21.76;Bento Vasconcelos;2025-10-26;2025-10-27
109;651.492.038-15;Pedro Miguel Cardoso;+55 31 5107 0296;Passarela de Monteiro, 7;SP;Campinas;6;Monitor;900;9;8100.0;7.69;Mariane Cavalcanti;2025-09-19;2025-10-29
110;497.108.623-40;Maria Sophia Novaes;(081) 0146-2638;Setor de Vieira, 7;SP;Santos;3;Fone de Ouvido;250;5;1260.18;10.18;Sra. Pietra Nogueira;2025-10-15;2025-10-21
111;985.321.046-06;João Lucas Araújo;(071) 8593-2133;Avenida de Teixeira, 79;SP;Santos;1;Notebook;3500;9;31527.25;27.25;Sr. Felipe da Costa;2025-10-03;2025-10-27
112;509.461.732-06;Samuel Andrade;+55 31 0393 0870;Estrada de Cardoso, 62;SP;São Paulo;4;Mouse;80;5;412.55;12.55;Antônio Casa Grande;2025-10-03;2025-10-31
113;185.023.697-68;Sr. Emanuel Siqueira;(021) 7528-9539;Parque das Neves, 32;RJ;Niterói;1;Notebook;3500;2;7018.9;18.9;Srta. Maria Júlia Vargas;2025-10-25;2025-10-25
114;953.840.761-00;Srta. Isabela Ferreira;(051) 2157 0433;Morro da Cunha, 1;SP;Santos;8;HD Externo;400;4;1618.56;18.56;Matheus Macedo;2025-10-12;2025-11-02
115;679.243.015-34;Rael Barbosa;+55 (051) 4054 1152;Campo Novaes, 6;RJ;Petrópolis;3;Fone de Ouvido;250;3;793.38;43.38;Rafaela Santos;2025-08-31;2025-10-30
116;269.087.153-02;Dra. Ágatha da Luz;(011) 4310 6987;Núcleo Abreu, 51;MG;Uberlândia;7;Impressora;700;4;2811.74;11.74;Pietra Costa;2025-09-04;2025-09-16
117;417.602.389-96;Julia Borges;71 6256-5270;Quadra Vinicius Câmara, 19;MG;Juiz de Fora;5;Teclado;150;10;1530.06;30.06;Calebe Barros;2025-10-08;2025-10-29
118;630.984.521-70;Isabela Melo;(031) 1608 9899;Praia Cavalcanti, 43;MG;Uberlândia;10;Webcam;300;3;924.43;24.43;Asafe Lima;2025-09-03;2025-10-14
119;;;41 7099-8616;Travessa Pastor, 211;RJ;Fortaleza;10;Webcam;300;1;340.31;40.31;Vitor Gabriel Ferreira;2025-10-20;2025-10-23
120;790.123.654-06;Miguel Farias;+55 41 0745-0544;Vila Gael Henrique da Conceição, 84;RJ;Petrópolis;6;Monitor;900;2;1800.0;42.94;Dr. Oliver Pereira;2025-10-07;2025-10-12
121;367.842.059-10;Leonardo Santos;21 6289-0233;Feira Andrade, 60;MG;Uberlândia;4;Mouse;80;2;196.8;36.8;Srta. Kamilly Freitas;2025-10-17;2025-10-25
122;103.274.589-41;Marcela Ferreira;+55 (031) 4140-6029;Fazenda Ramos, 53;RJ;Petrópolis;2;Smartphone;1800;2;3619.98;19.98;Maria Luísa Moraes;2025-08-31;2025-10-19
123;072.514.936-16;Lorena Silva;+55 84 6657-4374;Vale de Gonçalves, 910;CE;Juazeiro do Norte;1;Notebook;3500;8;28008.94;8.94;Maria Fernanda Novais;2025-10-07;2025-10-23
124;417.025.983-14;Letícia Correia;+55 (021) 8309-6520;Lago Valentim Leão, 16;SP;Santos;8;HD Externo;400;1;412.6;12.6;Esther Fernandes;2025-10-11;2025-10-16
125;875.421.630-35;Carolina Sousa;+55 71 8251-3534;Núcleo Vicente Pacheco, 27;SP;Campinas;1;Notebook;3500;9;31531.79;31.79;Ana Júlia Porto;2025-10-03;2025-11-01
126;173.408.295-04;Davi Miguel Costa;(081) 6972 5217;Estação de Dias, 1;MG;Juiz de Fora;3;Fone de Ouvido;250;5;1262.57;12.57;Kamilly Costela;2025-10-13;2025-10-16
127;271.843.569-00;Maria Isis Abreu;+55 (051) 8350 5830;Vereda Siqueira, 63;CE;Rio de Janeiro;9;Pen Drive;60;6;398.88;38.88;Davi Lucca Caldeira;2025-09-21;2025-10-16
128;210.963.587-86;Dr. Luiz Henrique Sá;+55 (071) 2603-3230;Esplanada de Campos, 70;SP;Campinas;6;Monitor;900;7;6343.42;43.42;Jade Vargas;2025-09-30;2025-10-01
129;019.756.382-12;Yan da Cunha;(071) 2304-6184;Vila de Carvalho, 91;RJ;Petrópolis;4;Mouse;80;9;763.6;43.6;Dra. Bárbara da Paz;2025-09-05;2025-09-11
130;394.671.285-19;Enrico Aparecida;81 7375-3001;Viaduto de Monteiro;CE;Caucaia;3;Fone de Ouvido;250;5;1263.55;13.55;Caleb Vasconcelos;2025-09-29;2025-10-24
131;143.725.608-26;Asafe da Rocha;21 5611 0022;Praia Vitor Gabriel Siqueira, 6;SP;São Paulo;8;HD Externo;400;6;2429.07;29.07;Sr. Danilo Guerra;2025-09-22;2025-10-11
132;679.510.824-49;Cauã Leão;0900 797 2965;Viela Siqueira, 87;MG;Juiz de Fora;1;Notebook;3500;10;35005.54;5.54;Noah Macedo;2025-09-01;2025-09-17
133;503.924.817-23;Manuella Ribeiro;51 2890 0287;Esplanada Dom Sá, 45;CE;Juazeiro do Norte;7;Impressora;700;6;4236.46;36.46;Dr. Benicio Montenegro;2025-09-12;2025-10-15
134;631.894.507-57;Luara Campos;11 0166-0880;Trevo Pinto, 98;CE;Caucaia;6;Monitor;900;4;3622.39;22.39;Rafael Fernandes;2025-09-20;2025-09-22
135;375.468.921-55;Sra. Bruna Brito;+55 21 0554-8851;Residencial Carvalho;MG;Juiz de Fora;5;Teclado;150;8;1223.81;23.81;Dra. Maria Luísa Caldeira;2025-09-14;2025-09-23
136;163.792.058-02;Camila Vargas;(041) 7982-7080;Trecho Maria Sophia Moraes, 39;SP;São Paulo;10;Webcam;300;10;3009.75;9.75;Srta. Bella Gomes;2025-10-07;2025-10-23
137;586.341.297-64;Rael Carvalho;+55 84 6984 8583;Vale Silva, 35;RJ;Fortaleza;3;Fone de Ouvido;250;10;2522.5;22.5;Dra. Emanuelly Montenegro;2025-10-01;2025-10-22
138;157.463.290-61;Bianca Alves;41 2003 4244;Vila Viana, 93;MG;Belo Horizonte;10;Webcam;300;9;2741.81;41.81;Luiz Henrique Machado;2025-09-05;2025-10-26
